job_no,job_type,category
0,Id-1,Permanent,Science
1,Id-2,Temporary/Seasonal,Pharmacy
2,Id-4,Permanent,Pharmacy
3,Id-6,Temporary/Seasonal,Pharmacy
4,Id-7,Permanent,Science
5,Id-8,Permanent,Medical Affairs / Pharmaceutical Physician
6,Id-15,Permanent,Medical Information and Pharmacovigilance
7,Id-17,Permanent,Regulatory Affairs
8,Id-20,Permanent,Medical Affairs / Pharmaceutical Physician
9,Id-25,Temporary/Seasonal,Pharmacy
10,Id-26,Permanent,Regulatory Affairs
11,Id-28,Permanent,Science
12,Id-29,Permanent,Science
13,Id-30,Permanent,Manufacturing & Operations
14,Id-31,Permanent,Pharmacy
15,Id-32,Permanent,Regulatory Affairs
16,Id-34,Any,Regulatory Affairs
17,Id-35,Permanent,Medical Affairs / Pharmaceutical Physician
18,Id-38,Permanent,Clinical Research
19,Id-41,Temporary/Seasonal,Pharmacy
20,Id-46,Temporary/Seasonal,Pharmacy
21,Id-47,Temporary/Seasonal,Quality-assurance
22,Id-49,Temporary/Seasonal,Pharmacy
23,Id-50,Permanent,Science
24,Id-53,Permanent,Clinical Research
25,Id-54,Permanent,Pharmacy
26,Id-62,Permanent,Science
27,Id-63,Temporary/Seasonal,Pharmacy
28,Id-64,Permanent,Science
29,Id-65,Temporary/Seasonal,Pharmacy
30,Id-70,Permanent,Science
31,Id-73,Permanent,Regulatory Affairs
32,Id-77,Permanent,Medical Information and Pharmacovigilance
33,Id-78,Temporary/Seasonal,Pharmacy
34,Id-80,Permanent,Science
35,Id-83,Temporary/Seasonal,Pharmacy
36,Id-84,Permanent,Medical Information and Pharmacovigilance
37,Id-85,Permanent,Science
38,Id-88,Permanent,Science
39,Id-89,Permanent,Medical Information and Pharmacovigilance
40,Id-91,Permanent,Clinical Research
41,Id-92,Permanent,Medical Information and Pharmacovigilance
42,Id-95,Permanent,Science
43,Id-97,Permanent,Regulatory Affairs
44,Id-102,Permanent,Clinical Research
45,Id-103,Temporary/Seasonal,Pharmacy
46,Id-104,Permanent,Science
47,Id-107,Permanent,Clinical Research
48,Id-109,Permanent,Regulatory Affairs
49,Id-116,Permanent,Science
50,Id-120,Any,Regulatory Affairs
51,Id-121,Permanent,Medical Affairs / Pharmaceutical Physician
52,Id-122,Permanent,Regulatory Affairs
53,Id-125,Temporary/Seasonal,Medical Affairs / Pharmaceutical Physician
54,Id-127,Temporary/Seasonal,Pharmacy
55,Id-134,Permanent,Science
56,Id-135,Permanent,Pharmacy
57,Id-136,Permanent,Science
58,Id-147,Permanent,Clinical Research
59,Id-148,Permanent,Pharmacy
60,Id-150,Temporary/Seasonal,Pharmacy
61,Id-156,Permanent,Medical Affairs / Pharmaceutical Physician
62,Id-157,Permanent,Quality-assurance
63,Id-161,Temporary/Seasonal,Regulatory Affairs
64,Id-163,Permanent,Clinical Research
65,Id-164,Permanent,Science
66,Id-170,Permanent,Science
67,Id-172,Permanent,Science
68,Id-177,Any,Pharmacy
69,Id-178,Temporary/Seasonal,Pharmacy
70,Id-179,Permanent,Science
71,Id-180,Permanent,Regulatory Affairs
72,Id-182,Permanent,Science
73,Id-183,Temporary/Seasonal,Science
74,Id-185,Permanent,Science
75,Id-189,Permanent,Science
76,Id-191,Temporary/Seasonal,Pharmacy
77,Id-192,Permanent,Science
78,Id-193,Permanent,Science
79,Id-194,Permanent,Clinical Research
80,Id-197,Permanent,Pharmacy
81,Id-198,Permanent,Science
82,Id-199,Permanent,Science
83,Id-200,Permanent,Science
84,Id-203,Permanent,Clinical Research
85,Id-205,Permanent,Science
86,Id-212,Permanent,Science
87,Id-213,Any,Regulatory Affairs
88,Id-218,Permanent,Science
89,Id-220,Permanent,Science
90,Id-221,Permanent,Science
91,Id-224,Temporary/Seasonal,Pharmacy
92,Id-227,Permanent,Science
93,Id-229,Permanent,Science
94,Id-233,Temporary/Seasonal,Pharmacy
95,Id-234,Permanent,Medical Affairs / Pharmaceutical Physician
96,Id-242,Permanent,Medical Information and Pharmacovigilance
97,Id-246,Any,Pharmacy
98,Id-247,Permanent,Regulatory Affairs
99,Id-248,Temporary/Seasonal,Regulatory Affairs
100,Id-250,Permanent,Regulatory Affairs
101,Id-252,Permanent,Science
102,Id-255,Permanent,Medical Affairs / Pharmaceutical Physician
103,Id-258,Permanent,Manufacturing & Operations
104,Id-259,Permanent,Science
105,Id-260,Permanent,Regulatory Affairs
106,Id-262,Permanent,Science
107,Id-264,Permanent,Regulatory Affairs
108,Id-265,Permanent,Medical Information and Pharmacovigilance
109,Id-266,Permanent,Clinical Research
110,Id-267,Temporary/Seasonal,Pharmacy
111,Id-271,Permanent,Science
112,Id-276,Permanent,Pharmacy
113,Id-277,Permanent,Science
114,Id-278,Temporary/Seasonal,Pharmacy
115,Id-279,Permanent,Manufacturing & Operations
116,Id-282,Permanent,Pharmacy
117,Id-283,Permanent,Science
118,Id-284,Permanent,Medical Affairs / Pharmaceutical Physician
119,Id-286,Permanent,Science
120,Id-287,Permanent,Regulatory Affairs
121,Id-290,Permanent,Science
